1,"[[{'label': 'not depression', 'score': 0.9733326435089111}, {'label': 'moderate', 'score': 0.02198893204331398}, {'label': 'severe', 'score': 0.004678396508097649}]]"
2,"[[{'label': 'not depression', 'score': 0.9778558611869812}, {'label': 'moderate', 'score': 0.017444154247641563}, {'label': 'severe', 'score': 0.004699931479990482}]]"
3,"[[{'label': 'not depression', 'score': 0.9677724242210388}, {'label': 'moderate', 'score': 0.02424784190952778}, {'label': 'severe', 'score': 0.00797970313578844}]]"
4,"[[{'label': 'not depression', 'score': 0.9664973020553589}, {'label': 'moderate', 'score': 0.02841850370168686}, {'label': 'severe', 'score': 0.005084226373583078}]]"
5,"[[{'label': 'not depression', 'score': 0.9765574336051941}, {'label': 'moderate', 'score': 0.018826166167855263}, {'label': 'severe', 'score': 0.004616330377757549}]]"
6,"[[{'label': 'not depression', 'score': 0.9184248447418213}, {'label': 'moderate', 'score': 0.05807981267571449}, {'label': 'severe', 'score': 0.023495275527238846}]]"
7,"[[{'label': 'not depression', 'score': 0.9341617226600647}, {'label': 'moderate', 'score': 0.04950488358736038}, {'label': 'severe', 'score': 0.016333388164639473}]]"
8,"[[{'label': 'not depression', 'score': 0.9690017104148865}, {'label': 'moderate', 'score': 0.023752182722091675}, {'label': 'severe', 'score': 0.007246161811053753}]]"
9,"[[{'label': 'not depression', 'score': 0.9732653498649597}, {'label': 'moderate', 'score': 0.0214984193444252}, {'label': 'severe', 'score': 0.005236295983195305}]]"
10,"[[{'label': 'not depression', 'score': 0.9813900589942932}, {'label': 'moderate', 'score': 0.01519986242055893}, {'label': 'severe', 'score': 0.003410095814615488}]]"
11,"[[{'label': 'not depression', 'score': 0.9739441275596619}, {'label': 'moderate', 'score': 0.020509563386440277}, {'label': 'severe', 'score': 0.00554637098684907}]]"
12,"[[{'label': 'not depression', 'score': 0.9416824579238892}, {'label': 'moderate', 'score': 0.0459742397069931}, {'label': 'severe', 'score': 0.012343342415988445}]]"
13,"[[{'label': 'not depression', 'score': 0.9715335369110107}, {'label': 'moderate', 'score': 0.024450859054923058}, {'label': 'severe', 'score': 0.004015588667243719}]]"
14,"[[{'label': 'not depression', 'score': 0.9767831563949585}, {'label': 'moderate', 'score': 0.018870312720537186}, {'label': 'severe', 'score': 0.004346496891230345}]]"
15,"[[{'label': 'not depression', 'score': 0.9687605500221252}, {'label': 'moderate', 'score': 0.023623507469892502}, {'label': 'severe', 'score': 0.007615964859724045}]]"
16,"[[{'label': 'not depression', 'score': 0.9828476905822754}, {'label': 'moderate', 'score': 0.01360372081398964}, {'label': 'severe', 'score': 0.0035485667176544666}]]"
17,"[[{'label': 'not depression', 'score': 0.9601779580116272}, {'label': 'moderate', 'score': 0.030207879841327667}, {'label': 'severe', 'score': 0.009614130482077599}]]"
18,"[[{'label': 'not depression', 'score': 0.971342146396637}, {'label': 'moderate', 'score': 0.02173558436334133}, {'label': 'severe', 'score': 0.006922220811247826}]]"
19,"[[{'label': 'not depression', 'score': 0.9795926213264465}, {'label': 'moderate', 'score': 0.017064101994037628}, {'label': 'severe', 'score': 0.0033433535136282444}]]"
20,"[[{'label': 'not depression', 'score': 0.9563718438148499}, {'label': 'moderate', 'score': 0.03126710653305054}, {'label': 'severe', 'score': 0.012361046858131886}]]"
21,"[[{'label': 'not depression', 'score': 0.9607158899307251}, {'label': 'moderate', 'score': 0.027673227712512016}, {'label': 'severe', 'score': 0.011610863730311394}]]"
22,"[[{'label': 'not depression', 'score': 0.9497036337852478}, {'label': 'moderate', 'score': 0.03872830793261528}, {'label': 'severe', 'score': 0.011568059213459492}]]"
23,"[[{'label': 'not depression', 'score': 0.9783346056938171}, {'label': 'moderate', 'score': 0.01821967400610447}, {'label': 'severe', 'score': 0.003445665817707777}]]"
24,"[[{'label': 'not depression', 'score': 0.9691615700721741}, {'label': 'moderate', 'score': 0.026156876236200333}, {'label': 'severe', 'score': 0.004681556019932032}]]"
25,"[[{'label': 'not depression', 'score': 0.9644716382026672}, {'label': 'moderate', 'score': 0.026117896661162376}, {'label': 'severe', 'score': 0.009410484693944454}]]"
26,"[[{'label': 'not depression', 'score': 0.9045618176460266}, {'label': 'moderate', 'score': 0.08267749845981598}, {'label': 'severe', 'score': 0.01276063546538353}]]"
27,"[[{'label': 'not depression', 'score': 0.9783994555473328}, {'label': 'moderate', 'score': 0.018792206421494484}, {'label': 'severe', 'score': 0.0028084067162126303}]]"
28,"[[{'label': 'not depression', 'score': 0.976714015007019}, {'label': 'moderate', 'score': 0.01841004006564617}, {'label': 'severe', 'score': 0.004875893704593182}]]"
29,"[[{'label': 'not depression', 'score': 0.9759841561317444}, {'label': 'moderate', 'score': 0.017311803996562958}, {'label': 'severe', 'score': 0.006704121362417936}]]"
30,"[[{'label': 'not depression', 'score': 0.9854148626327515}, {'label': 'moderate', 'score': 0.01102872472256422}, {'label': 'severe', 'score': 0.0035564578138291836}]]"
31,"[[{'label': 'not depression', 'score': 0.9709484577178955}, {'label': 'moderate', 'score': 0.024404244497418404}, {'label': 'severe', 'score': 0.004647290334105492}]]"
32,"[[{'label': 'not depression', 'score': 0.9687655568122864}, {'label': 'moderate', 'score': 0.025028206408023834}, {'label': 'severe', 'score': 0.00620618648827076}]]"
33,"[[{'label': 'not depression', 'score': 0.9459758400917053}, {'label': 'moderate', 'score': 0.043491609394550323}, {'label': 'severe', 'score': 0.010532579384744167}]]"
34,"[[{'label': 'not depression', 'score': 0.9534469246864319}, {'label': 'moderate', 'score': 0.029120782390236855}, {'label': 'severe', 'score': 0.017432289198040962}]]"
35,"[[{'label': 'not depression', 'score': 0.9555593729019165}, {'label': 'moderate', 'score': 0.03445320576429367}, {'label': 'severe', 'score': 0.0099874222651124}]]"
36,"[[{'label': 'not depression', 'score': 0.9766864776611328}, {'label': 'moderate', 'score': 0.0186624713242054}, {'label': 'severe', 'score': 0.004651074763387442}]]"
37,"[[{'label': 'not depression', 'score': 0.9432516098022461}, {'label': 'moderate', 'score': 0.04233159124851227}, {'label': 'severe', 'score': 0.01441678125411272}]]"
